Stock,Stock Price,Previous Close,Overnight Price Return,Market Capitalisation,Trailing Price to Earnings Ratio,Number of Shares to Buy
FSLR,207.92,199.27,1.0434084408089526,22259499008,17.924137,N/A
FE,41.59,42.55,0.9774383078730906,23969024000,26.832258,N/A
FI,218.51,220.96,0.9889120202751629,124314484736,42.1834,N/A
FMC,59.38,59.09,1.0049077678118126,7412761600,4.8712063,N/A
F,10.98,11.13,0.9865229110512129,43637702656,12.477272,N/A
FTNT,95.32,95.05,1.0028406102051552,73058295808,47.899498,N/A
FTV,78.96,79.33,0.9953359384848103,27395092480,31.584,N/A
FOXA,46.77,47.12,0.992572156196944,20805586944,11.435207,N/A
FOX,44.41,44.73,0.9928459646769506,20805595136,10.858191,N/A
BEN,22.59,22.76,0.992530755711775,11829660672,26.57647,N/A
FCX,43.64,44.2,0.9873303167420814,62707625984,31.623188,N/A
GRMN,213.46,212.6,1.0040451552210725,40989655040,27.088833,N/A
IT,517.0,517.93,0.9982043905547082,39878434816,38.15498,N/A
GE,180.44,182.16,0.9905577514273166,195288416256,35.589745,N/A
GEHC,83.08,83.22,0.9983177120884402,37957009408,22.761644,N/A
GEV,337.54,334.12,1.0102358434095535,93043916800,79.98579,N/A
GEN,30.93,30.85,1.0025931928687195,19059220480,31.242424,N/A
GNRC,187.45,188.2,0.9960148777895855,11152769024,39.052082,N/A
GD,276.44,284.01,0.9733460089433471,76012429312,21.054075,N/A
GIS,67.01,66.26,1.0113190461817083,37201203200,15.954763,N/A
GM,55.04,55.59,0.9901061341967979,60521984000,5.8740664,N/A
GPC,127.53,126.73,1.0063126331571057,17731260416,16.455484,N/A
GILD,94.02,92.58,1.015554115359689,117174296576,1044.6666,N/A
GPN,118.13,118.96,0.9930228648285138,30063495168,22.288677,N/A
GL,110.04,111.24,0.9892125134843582,9237319680,9.325423,N/A
GDDY,197.62,197.57,1.0002530748595435,27744069632,15.847633,N/A
GS,601.71,605.57,0.9936258401175752,188882796544,17.635113,N/A
HAL,31.56,31.86,0.9905838041431262,27725522944,11.0349655,N/A
HIG,121.22,122.79,0.9872139425034612,35140587520,12.170683,N/A
HAS,64.73,65.15,0.9935533384497314,9029899264,,N/A
HCA,327.63,327.22,1.0012529796467207,82987696128,14.705116,N/A
DOC,21.65,21.99,0.9845384265575261,15142940672,44.18367,N/A
HSIC,76.5,77.05,0.9928617780661908,9538096128,31.352459,N/A
HSY,177.82,176.13,1.0095951853744394,35982770176,20.439081,N/A
HES,146.96,147.18,0.9985052316890882,45281026048,17.128206,N/A
HPE,21.25,21.22,1.0014137606032045,27596736512,15.070922,N/A
HLT,250.47,253.44,0.98828125,61059575808,53.519234,N/A
HOLX,79.0,79.5,0.9937106918238994,17928337408,23.795181,N/A
HD,426.96,429.13,0.9949432572880013,424126251008,28.985744,N/A
HON,229.95,232.93,0.987206456875456,149524283392,26.522491,N/A
HRL,32.14,32.43,0.9910576626580327,17624420352,22.475525,N/A
HST,18.39,18.42,0.9983713355048859,13029848064,17.854368,N/A
HWM,117.69,118.38,0.9941713127217435,47812857856,45.26539,N/A
HPQ,36.45,35.43,1.0287891617273497,35116220416,12.971531,N/A
HUBB,457.23,460.09,0.9937838249038232,24539762688,32.894245,N/A
HUM,293.13,296.38,0.9890343477967474,35296075776,25.578535,N/A
HBAN,17.78,18.01,0.9872293170460855,25830963200,17.262136,N/A
HII,194.84,197.92,0.984438156831043,7623952896,11.014132,N/A
IBM,227.39,227.41,0.9999120531199155,210255020032,33.09898,N/A
IEX,231.81,230.63,1.0051164202402116,17553416192,35.995342,N/A
IDXX,430.77,421.75,1.0213870776526377,35273474048,41.66054,N/A
ITW,278.5,277.52,1.0035312770250793,82241052672,24.091694,N/A
INCY,73.24,74.59,0.9819010591232068,14109685760,813.7777,N/A
IR,105.12,104.17,1.0091197081693386,42364620800,51.27805,N/A
PODD,266.49,266.78,0.9989129619911539,18692886528,45.476105,N/A
INTC,23.93,24.05,0.995010395010395,103210090496,,N/A
ICE,158.29,160.96,0.9834120278330019,90886479872,37.59857,N/A
IFF,91.27,91.36,0.9990148861646234,23336095744,,N/A
IP,58.46,58.83,0.9937106918238994,20309471232,49.965813,N/A
IPG,30.12,30.48,0.9881889763779528,11219971072,14.207548,N/A
INTU,634.07,641.73,0.9880635158088293,177486970880,61.740017,N/A
ISRG,542.85,542.0,1.0015682656826568,193351761920,86.99519,N/A
IVZ,18.09,18.09,1.0,8130369536,,N/A
INVH,33.9,34.25,0.9897810218978101,20767344640,47.083332,N/A
IQV,201.79,200.84,1.0047301334395538,36624883712,26.516424,N/A
IRM,121.59,123.67,0.983181046332983,35681800192,337.74997,N/A
JBHT,189.24,189.11,1.0006874305959494,19081070592,34.344826,N/A
JBL,135.19,135.83,0.9952882279319737,15255245824,12.102955,N/A
JKHY,175.66,175.63,1.0001708136423162,12816029696,32.17216,N/A
J,139.87,141.23,0.9903703179211216,17339262976,29.261503,N/A
JNJ,154.8,155.01,0.9986452486936328,372699594752,25.586777,N/A
JCI,83.67,83.86,0.9977343191032674,55405019136,40.225964,N/A
JPM,246.25,249.72,0.9861044369694058,693277491200,13.680555,N/A
JNPR,35.62,35.7,0.9977591036414565,11793389568,46.86842,N/A
K,80.7,80.72,0.9997522299306244,27817125888,26.989965,N/A
KVUE,24.26,24.08,1.0074750830564785,46512730112,44.10909,N/A
KDP,32.54,32.65,0.9966309341500766,44138885120,19.602411,N/A
KEY,19.11,19.48,0.981006160164271,18943418368,Infinity,N/A
KEYS,171.59,170.84,1.0043900725825334,29615230976,48.747158,N/A
KMB,139.56,139.35,1.0015069967707213,46541164544,18.07772,N/A
KIM,25.22,25.57,0.9863120844739929,17000323072,46.7037,N/A
KMI,27.44,28.27,0.9706402546869474,60961800192,24.283186,N/A
KKR,159.65,162.87,0.9802296309940444,147324698624,49.58074,N/A
KLAC,666.03,647.03,1.029364944438434,89088180224,30.398449,N/A
KHC,31.61,31.97,0.9887394432280263,38221864960,28.477478,N/A
KR,60.15,61.08,0.9847740667976425,43517685760,15.746074,N/A
LHX,242.82,246.25,0.9860710659898477,46055186432,38.299686,N/A
LH,240.63,241.16,0.9978022889368054,20126124032,45.660343,N/A
LRCX,78.51,73.88,1.0626691932864105,101018042368,25.407768,N/A
LW,78.34,77.24,1.0142413257379597,11171127296,18.38967,N/A
LVS,55.0,53.06,1.0365623822088201,39876427776,27.227722,N/A
LDOS,164.13,165.4,0.9923216444981862,21900359680,18.651136,N/A
LEN,173.47,174.39,0.9947244681461094,46732644352,11.518592,N/A
LLY,799.8,795.35,1.0055950210599107,719272869888,86.18535,N/A
LIN,459.69,460.99,0.9971799822121955,218885079040,34.851402,N/A
LYV,137.76,138.25,0.9964556962025316,31767318528,153.06667,N/A
LKQ,39.28,39.29,0.9997454823110207,10211228672,14.494464,N/A
LMT,520.34,526.11,0.98903271179031,123338801152,18.83243,N/A
L,86.16,86.73,0.9934278796264268,18660274176,11.457447,N/A
LOW,272.05,272.43,0.9986051462761076,153613025280,22.63311,N/A
LULU,334.4,320.66,1.042849123682405,41056628736,25.84235,N/A
LYB,82.05,82.0,1.0006097560975609,26646312960,12.450683,N/A
MTB,215.69,218.64,0.9865075009147457,35787497472,15.953402,N/A
MPC,157.41,156.15,1.0080691642651296,50589843456,12.211792,N/A
MKTX,263.47,258.69,1.0184777146391435,9933978624,35.700542,N/A
MAR,286.24,289.09,0.9901414784323223,79544090624,29.94142,N/A
MMC,233.04,233.23,0.999185353513699,114451062784,28.734896,N/A
MLM,593.22,599.21,0.990003504614409,36256477184,18.417261,N/A
MAS,80.5,80.56,0.9992552135054618,17367793664,21.409575,N/A
MA,531.36,532.94,0.9970353135437384,487698661376,40.163265,N/A
MTCH,33.2,32.74,1.0140500916310324,8336221696,14.887893,N/A
MKC,78.37,78.41,0.9994898609871191,21030983680,26.656464,N/A
MCD,292.44,294.24,0.9938825448613376,209568366592,25.697716,N/A
MCK,621.29,627.79,0.9896462192771468,78866546688,32.157867,N/A
MDT,86.54,86.54,1.0,110969380864,26.464832,N/A
MRK,100.61,101.64,0.9898661944116489,254507073536,21.048117,N/A
META,592.83,574.32,1.032229419139156,1496593465344,28.016542,N/A
MET,86.88,88.23,0.9846990819449166,60157444096,17.622719,N/A
MTD,1258.88,1251.2,1.0061381074168798,26565767168,33.89553,N/A
MGM,38.29,38.34,0.9986958789775691,11400464384,13.724015,N/A
MCHP,70.31,68.17,1.0313921079653807,37757169664,48.826385,N/A
MU,98.55,97.95,1.006125574272588,109788651520,140.78572,N/A
MSFT,430.98,423.46,1.0177584659708119,3204284678144,35.58877,N/A
MAA,162.3,164.16,0.988669590643275,19468859392,36.471912,N/A
MRNA,44.26,43.06,1.027868091035764,17032043520,,N/A
MHK,136.33,138.83,0.9819923647626594,8605327360,15.387134,N/A
MOH,301.87,297.9,1.0133266196710307,17266964480,15.362341,N/A
TAP,61.81,62.06,0.9959716403480503,12729027584,13.921171,N/A
MDLZ,65.23,64.95,1.0043110084680524,87224909824,23.131207,N/A
MPWR,580.35,567.64,1.0223909520118386,28309471232,65.35473,N/A
MNST,54.98,55.13,0.9972791583529838,53469147136,35.24359,N/A
MCO,497.41,499.98,0.9948597943917756,90146119680,45.467094,N/A
MS,131.03,131.61,0.9955930400425499,211094568960,19.913374,N/A
MOS,27.58,26.46,1.0423280423280423,8760648704,24.40708,N/A
MSI,496.7,499.7,0.9939963978387032,83008995328,54.343544,N/A
MSCI,608.97,609.63,0.9989173761133803,47725764608,40.011166,N/A
NDAQ,81.65,82.99,0.9838534763224486,46928994304,49.18675,N/A
NTAP,123.29,122.64,1.0053000652315722,25065596928,22.747232,N/A
NFLX,897.74,886.81,1.0123250752697872,383746113536,50.748444,N/A
NEM,40.91,41.94,0.9754411063423939,46573989888,,N/A
NWSA,29.45,29.35,1.0034071550255537,17266270208,47.5,N/A
NWS,32.24,32.09,1.0046743533811155,17266262016,52.000004,N/A
NEE,77.07,78.67,0.9796618787339518,158486740992,22.869436,N/A
NKE,79.09,78.37,1.0091871889753732,117725454336,22.66189,N/A
NI,37.35,38.09,0.9805723286951955,17434195968,22.77439,N/A
NDSN,259.15,260.99,0.9929499214529292,14818585600,31.526762,N/A
NSC,272.75,275.85,0.9887620083378647,61706960896,25.586304,N/A
NTRS,109.89,111.16,0.9885750269881253,21782175744,13.684932,N/A
NOC,484.75,487.59,0.9941754342787998,70625656832,29.849138,N/A
NCLH,28.35,26.89,1.0542952770546672,12465722368,24.868422,N/A
NRG,99.4,101.61,0.9782501722271431,20135061504,24.603962,N/A
NUE,156.37,154.69,1.0108604305384965,36717707264,15.064547,N/A
NVDA,138.63,138.25,1.002748643761302,3395048964096,54.578743,N/A
NVR,9180.0,9235.58,0.993981969730109,28126418944,18.796839,N/A
NXPI,233.61,229.37,1.0184854165758381,59373383680,22.31232,N/A
ORLY,1246.82,1243.22,1.0028957063110309,71979786240,30.86188,N/A
OXY,50.42,50.58,0.9968366943455912,47311249408,13.813698,N/A
ODFL,224.85,225.14,0.9987119125877232,48005025792,39.378284,N/A
OMC,105.01,104.82,1.0018126311772564,20486715392,14.345629,N/A
ON,73.95,71.12,1.0397919010123735,31487686656,18.349874,N/A
OKE,110.44,113.6,0.9721830985915493,64524681216,23.398306,N/A
ORCL,181.41,184.84,0.9814434105172041,502697984000,46.755154,N/A
OTIS,101.8,102.98,0.988541464362012,40665128960,25.323383,N/A
PCAR,116.24,117.0,0.9935042735042735,60944744448,13.002237,N/A
PKG,244.8,248.85,0.9837251356238699,21984239616,28.564762,N/A
PLTR,66.39,67.08,0.9897137745974955,151237754880,331.94998,N/A
PANW,390.17,387.82,1.0060595121448095,128014778368,50.474773,N/A
PARA,10.98,10.85,1.0119815668202765,7803683328,,N/A
PH,700.69,702.9,0.9968558827713758,90192814080,31.548403,N/A
PAYX,145.45,146.27,0.9943939290353454,52347162624,31.07906,N/A
PAYC,232.41,231.92,1.002112797516385,13401225216,27.933895,N/A
PYPL,86.53,86.77,0.9972340670738735,86749790208,20.700958,N/A
PNR,108.92,108.99,0.9993577392421323,17996961792,27.23,N/A
PEP,163.05,163.45,0.9975527684307129,223702974464,24.048672,N/A
PFE,25.82,26.21,0.9851201831362075,146321686528,34.426666,N/A
PCG,20.55,21.63,0.9500693481276006,53744209920,16.054688,N/A
PM,131.02,133.06,0.9846685705696678,203713822720,20.796825,N/A
PSX,136.43,133.98,1.0182863113897598,56344084480,17.42401,N/A
PNW,92.42,93.7,0.9863393810032017,10508153856,17.372179,N/A
PNC,211.36,214.72,0.9843517138599106,83864059904,17.85135,N/A
POOL,375.97,377.09,0.997029886764433,14307726336,32.244427,N/A
PPG,125.97,124.37,1.012864838787489,29225039872,19.96355,N/A
PPL,34.44,34.93,0.9859719438877755,25415686144,31.027025,N/A
PFG,85.42,86.36,0.9891153311718388,19537774592,,N/A
PG,179.7,179.26,1.0024545353118375,423200686080,30.982758,N/A
PGR,264.04,268.88,0.9819994049390064,154677805056,19.188953,N/A
PLD,115.84,116.78,0.9919506764856997,107288109056,34.99698,N/A
PRU,128.41,129.41,0.9922726218993896,45705101312,11.424377,N/A
PEG,92.27,94.3,0.9784729586426298,45971218432,22.67076,N/A
PTC,199.38,200.06,0.9966010196940918,23951321088,64.10933,N/A
PSA,344.07,348.05,0.9885648613704927,60249751552,35.728973,N/A
PHM,135.14,135.27,0.9990389591187993,27714781184,9.973432,N/A
QRVO,70.8,69.05,1.0253439536567706,6692490752,,N/A
PWR,342.33,344.52,0.9936433298502264,50532012032,63.277264,N/A
QCOM,163.03,158.53,1.028385794486848,181126332416,18.256437,N/A
DGX,161.51,162.66,0.9929300381163162,18026938368,21.679193,N/A
RL,233.41,231.4,1.008686257562662,14494364672,22.271948,N/A
